id	mother	father	year	rep	scheme
72297	59154	56919	60	1	PedigreSelection
69089	52950	59154	60	1	PedigreSelection
64582	50414	54243	60	1	PedigreSelection
70882	59170	59885	60	1	PedigreSelection
67167	52950	48421	60	1	PedigreSelection
68453	58940	54243	60	1	PedigreSelection
59170	48884	49651	60	1	PedigreSelection
73155	62156	59885	60	1	PedigreSelection
69082	52950	59154	60	1	PedigreSelection
73184	62156	55780	60	1	PedigreSelection
70110	60680	59154	60	1	PedigreSelection
63256	52950	49651	60	1	PedigreSelection
72149	62156	58940	60	1	PedigreSelection
70876	59170	59885	60	1	PedigreSelection
64584	50414	54243	60	1	PedigreSelection
68461	58940	54243	60	1	PedigreSelection
62154	52950	48884	60	1	PedigreSelection
62156	52950	48884	60	1	PedigreSelection
66192	52950	55780	60	1	PedigreSelection
64572	50414	54243	60	1	PedigreSelection
58950	40008	45578	60	1	PedigreSelection
68453	58940	54243	61	1	PedigreSelection
74357	59170	64582	61	1	PedigreSelection
71140	59170	50414	61	1	PedigreSelection
74207	62154	59154	61	1	PedigreSelection
73184	62156	55780	61	1	PedigreSelection
74353	59170	64582	61	1	PedigreSelection
71171	59170	56919	61	1	PedigreSelection
71193	59170	52950	61	1	PedigreSelection
66462	55780	50414	61	1	PedigreSelection
64572	50414	54243	61	1	PedigreSelection
69946	59885	56197	61	1	PedigreSelection
72257	59170	57849	61	1	PedigreSelection
73215	59170	62155	61	1	PedigreSelection
68461	58940	54243	61	1	PedigreSelection
72297	59154	56919	61	1	PedigreSelection
64582	50414	54243	61	1	PedigreSelection
69089	52950	59154	61	1	PedigreSelection
66192	52950	55780	61	1	PedigreSelection
67428	49441	56197	61	1	PedigreSelection
70882	59170	59885	61	1	PedigreSelection
59170	48884	49651	61	1	PedigreSelection
73155	62156	59885	61	1	PedigreSelection
69082	52950	59154	61	1	PedigreSelection
67167	52950	48421	61	1	PedigreSelection
72149	62156	58940	61	1	PedigreSelection
63256	52950	49651	61	1	PedigreSelection
70110	60680	59154	61	1	PedigreSelection
62154	52950	48884	61	1	PedigreSelection
70876	59170	59885	61	1	PedigreSelection
62156	52950	48884	61	1	PedigreSelection
74357	59170	64582	62	1	PedigreSelection
74207	62154	59154	62	1	PedigreSelection
69946	59885	56197	62	1	PedigreSelection
74353	59170	64582	62	1	PedigreSelection
71171	59170	56919	62	1	PedigreSelection
71140	59170	50414	62	1	PedigreSelection
59170	48884	49651	62	1	PedigreSelection
67167	52950	48421	62	1	PedigreSelection
70882	59170	59885	62	1	PedigreSelection
64582	50414	54243	62	1	PedigreSelection
75206	64582	60680	62	1	PedigreSelection
72297	59154	56919	62	1	PedigreSelection
73215	59170	62155	62	1	PedigreSelection
75530	58950	64572	62	1	PedigreSelection
72257	59170	57849	62	1	PedigreSelection
73155	62156	59885	62	1	PedigreSelection
75517	58950	64572	62	1	PedigreSelection
71193	59170	52950	62	1	PedigreSelection
67428	49441	56197	62	1	PedigreSelection
69089	52950	59154	62	1	PedigreSelection
70876	59170	59885	62	1	PedigreSelection
70110	60680	59154	62	1	PedigreSelection
62156	52950	48884	62	1	PedigreSelection
66462	55780	50414	62	1	PedigreSelection
69082	52950	59154	62	1	PedigreSelection
72149	62156	58940	62	1	PedigreSelection
64572	50414	54243	62	1	PedigreSelection
62154	52950	48884	62	1	PedigreSelection
68453	58940	54243	62	1	PedigreSelection
73184	62156	55780	62	1	PedigreSelection
76246	59154	64582	63	1	PedigreSelection
76236	59154	64582	63	1	PedigreSelection
74207	62154	59154	63	1	PedigreSelection
74353	59170	64582	63	1	PedigreSelection
71171	59170	56919	63	1	PedigreSelection
