year	rep	scenario	meanG	varG	accSel
25	1	Burn_in	3649.84249820975	374923.443396779	0.648681619903734
26	1	Burn_in	3927.92951640776	310566.224604339	0.524351442941179
27	1	Burn_in	3915.66144565727	295553.237458551	0.297400337716134
28	1	Burn_in	4169.83118108393	350850.327744978	0.57295777035515
29	1	Burn_in	4205.3086787829	221020.343141345	0.523230883284493
30	1	Burn_in	4435.21005045405	158371.711292976	0.629270600273446
31	1	Burn_in	4544.69070720052	178125.013753633	0.583936291444508
32	1	Burn_in	4560.86956189587	199103.606928093	0.414546746139466
33	1	Burn_in	4527.30017383986	109640.496896751	0.5947663343557
34	1	Burn_in	4496.07895790652	138003.743110389	0.498130286096855
35	1	Burn_in	4485.6052858589	131274.167981032	0.471704712168232
36	1	Burn_in	4579.67879642705	117646.247002811	0.495124391297581
37	1	Burn_in	4359.00839366733	135271.659304356	0.481401534968334
38	1	Burn_in	4490.25607679072	130270.534337428	0.373907473524866
39	1	Burn_in	4394.21805255323	139870.834227881	0.4234395662178
40	1	Burn_in	4494.32969048566	153153.40027418	0.420073686687537
41	1	GS_early_selection	4658.13022593479	178258.295717007	0.552408504281722
42	1	GS_early_selection	4814.46132795403	179391.956109773	0.615133282231926
43	1	GS_early_selection	4848.35785928885	129040.674611774	0.715392451367874
44	1	GS_early_selection	4940.18198894962	116062.266425339	0.647918340266224
45	1	GS_early_selection	5042.95708698387	90770.4774651254	0.469585345712982
46	1	GS_early_selection	5087.83231758127	80907.0065213784	0.079365409177013
47	1	GS_early_selection	5166.61412148886	80405.6012205018	0.157132993771357
48	1	GS_early_selection	5274.78894177512	77709.3512985748	0.366627613470779
49	1	GS_early_selection	5101.8383841229	123913.408465489	0.385582621098593
50	1	GS_early_selection	5125.58575979605	99204.3554713451	0.0663287578823567
51	1	GS_early_selection	5239.93684885343	98153.8140732498	0.36262606864183
52	1	GS_early_selection	5382.99453050791	78396.9559838518	0.571373549673611
53	1	GS_early_selection	5444.00827126105	57072.9862373162	0.61772137112093
54	1	GS_early_selection	5485.8822795024	60202.3595492727	0.44549819466227
55	1	GS_early_selection	5520.54861279032	52381.8622450689	0.525176706392751
56	1	GS_early_selection	5473.50492421525	62629.8440308906	0.553387114894334
57	1	GS_early_selection	5616.77088103976	48124.3546907569	0.415861725159553
58	1	GS_early_selection	5611.36972753792	55665.3191695132	0.364388184102878
59	1	GS_early_selection	5667.52128836516	58849.1679354142	0.251291246504668
60	1	GS_early_selection	5595.57436875403	54126.8966431592	0.391023764401676
61	1	GS_early_selection	5681.27747397314	67637.2163650627	0.0245804478877446
62	1	GS_early_selection	5666.56273279059	66332.8641103719	-0.0253518825758887
63	1	GS_early_selection	5626.72846387274	83468.2979403685	0.222335874306182
64	1	GS_early_selection	5655.1167910038	69576.2384588488	0.560935779961045
65	1	GS_early_selection	5775.94465298749	61741.8691275662	0.504174895232654
66	1	GS_early_selection	5827.84618957767	52877.4719094588	-0.154638305924507
67	1	GS_early_selection	5827.92946135318	61867.9049829255	-0.124577861849878
68	1	GS_early_selection	5743.93457650259	61068.1850513086	0.238858924314918
69	1	GS_early_selection	5894.65051967682	57942.8096549274	0.254037044345389
70	1	GS_early_selection	5840.48640371238	54200.3803660254	0.0964406609011078
71	1	GS_early_selection	5826.24454388513	65110.2838376083	0.323266231440913
72	1	GS_early_selection	5834.76282243747	59686.7338261761	0.455990074577111
73	1	GS_early_selection	5910.70091316035	49249.9257826619	0.488667157436344
74	1	GS_early_selection	5934.70863714074	50626.6067530561	0.450714863829366
75	1	GS_early_selection	6003.34819209965	57284.7825007681	0.464740503691644
76	1	GS_early_selection	6041.75902643754	65523.6055232063	0.433406881211608
77	1	GS_early_selection	6083.02364472747	61181.8592255476	0.447322907840985
78	1	GS_early_selection	6128.98116056515	65476.6713317247	0.346927571881926
79	1	GS_early_selection	6203.6678039208	44666.4010612692	0.534972058745951
80	1	GS_early_selection	6155.54493790145	50152.2058077516	0.248708085591823
1	1	Burn_in	2481.43086193649	197349.232012656	0.475337844874918
2	1	Burn_in	2617.46632948607	173001.263580534	0.46949882571252
3	1	Burn_in	2634.33085865679	287748.738737599	0.565197882913319
4	1	Burn_in	2777.10941578357	214948.199627222	0.415809693464571
5	1	Burn_in	3142.55119246002	254678.315019248	0.284151918765563
6	1	Burn_in	3048.03349105782	272397.752844978	0.478486198470356
7	1	Burn_in	3147.86749524967	272223.890702197	0.393615632003394
8	1	Burn_in	3051.37877224397	228670.337407329	0.640779111399646
9	1	Burn_in	3098.67586719706	355475.407680111	0.25691834235981
10	1	Burn_in	3065.27567314552	353408.540085094	0.575750501211212
11	1	Burn_in	3236.8759140078	220902.889451852	0.615058089638488
12	1	Burn_in	3056.9728442565	215341.962166331	0.193885948531894
13	1	Burn_in	3100.2458854953	259701.786611694	0.55905720569078
14	1	Burn_in	3043.05729282355	299786.365491611	0.510631869366888
15	1	Burn_in	3235.30532619494	363677.970404171	0.642828270301861
16	1	Burn_in	3245.08056696042	496878.896050066	0.401746444300402
17	1	Burn_in	3463.86948554302	509497.060679268	0.556536413784667
18	1	Burn_in	3567.85787930458	248812.385815904	0.48350319027288
19	1	Burn_in	3466.40916536284	372860.40536545	0.664674440608284
20	1	Burn_in	3729.76756139183	369437.186902348	0.65572195671622
21	1	Burn_in	3708.67076915977	307228.891375817	0.725651971828634
22	1	Burn_in	3592.08167685999	390672.016324639	0.579959934308477
23	1	Burn_in	3612.63168417743	320143.899041214	0.496957318314879
24	1	Burn_in	3891.60242140672	241965.217055688	0.596447022362695
25	1	Burn_in	3649.84249820975	374923.443396779	0.648681619903734
26	1	Burn_in	3927.92951640776	310566.224604339	0.524351442941179
27	1	Burn_in	3915.66144565727	295553.237458551	0.297400337716134
28	1	Burn_in	4169.83118108393	350850.327744978	0.57295777035515
29	1	Burn_in	4205.3086787829	221020.343141345	0.523230883284493
30	1	Burn_in	4435.21005045405	158371.711292976	0.629270600273446
31	1	Burn_in	4544.69070720052	178125.013753633	0.583936291444508
32	1	Burn_in	4560.86956189587	199103.606928093	0.414546746139466
33	1	Burn_in	4527.30017383986	109640.496896751	0.5947663343557
34	1	Burn_in	4496.07895790652	138003.743110389	0.498130286096855
35	1	Burn_in	4485.6052858589	131274.167981032	0.471704712168232
36	1	Burn_in	4579.67879642705	117646.247002811	0.495124391297581
37	1	Burn_in	4359.00839366733	135271.659304356	0.481401534968334
38	1	Burn_in	4490.25607679072	130270.534337428	0.373907473524866
39	1	Burn_in	4394.21805255323	139870.834227881	0.4234395662178
40	1	Burn_in	4494.32969048566	153153.40027418	0.420073686687537
41	1	GS_early_selection_extreme	4658.13022593479	178258.295717007	0.552408504281722
42	1	GS_early_selection_extreme	4706.70064586154	184046.378763672	0.510115774203526
43	1	GS_early_selection_extreme	4857.79756154754	144102.801812354	0.680405899684455
44	1	GS_early_selection_extreme	5062.91761544268	108678.756545005	0.716538782508402
45	1	GS_early_selection_extreme	5136.45960422434	96223.306216751	0.576161583397452
46	1	GS_early_selection_extreme	5102.88712988628	95856.7661868479	0.420037486174533
47	1	GS_early_selection_extreme	5163.97788625163	83276.4245311422	0.34310247250689
48	1	GS_early_selection_extreme	5059.41082578007	84873.0058564295	0.118965872145974
