id	mother	father	year	rep	scheme
62813	35591	52679	52	1	GS
60659	49441	35893	52	1	GS
55776	40008	41854	52	1	GS
59900	35893	49959	52	1	GS
59903	35893	49959	52	1	GS
60834	47607	36015	52	1	GS
66034	52950	56919	53	1	GS
66044	52950	56919	53	1	GS
64248	35893	49441	53	1	GS
66039	52950	56919	53	1	GS
62796	49441	35893	53	1	GS
62249	52950	49959	53	1	GS
65070	52950	54545	53	1	GS
64066	52950	41629	53	1	GS
64069	52950	41629	53	1	GS
52950	36015	42544	53	1	GS
63976	49959	50644	53	1	GS
63261	52950	49651	53	1	GS
62026	44386	36015	53	1	GS
61774	49441	40008	53	1	GS
63265	52950	49651	53	1	GS
65063	52950	54545	53	1	GS
61782	49441	40008	53	1	GS
62813	35591	52679	53	1	GS
54243	44576	36015	53	1	GS
60659	49441	35893	53	1	GS
58795	35591	45578	53	1	GS
65057	52950	54545	53	1	GS
56678	35591	46565	53	1	GS
50644	36015	29645	53	1	GS
57897	36015	45578	53	1	GS
58943	40008	45578	53	1	GS
59900	35893	49959	53	1	GS
59903	35893	49959	53	1	GS
58937	40008	45578	53	1	GS
40008	18482	11763	53	1	GS
67108	56919	49441	54	1	GS
64248	35893	49441	54	1	GS
66044	52950	56919	54	1	GS
66034	52950	56919	54	1	GS
67455	52950	49441	54	1	GS
66039	52950	56919	54	1	GS
67467	52950	49441	54	1	GS
62796	49441	35893	54	1	GS
64066	52950	41629	54	1	GS
65070	52950	54545	54	1	GS
63261	52950	49651	54	1	GS
52950	36015	42544	54	1	GS
62026	44386	36015	54	1	GS
61774	49441	40008	54	1	GS
62249	52950	49959	54	1	GS
64069	52950	41629	54	1	GS
63976	49959	50644	54	1	GS
60659	49441	35893	54	1	GS
65063	52950	54545	54	1	GS
63265	52950	49651	54	1	GS
54243	44576	36015	54	1	GS
61782	49441	40008	54	1	GS
65057	52950	54545	54	1	GS
59900	35893	49959	54	1	GS
57897	36015	45578	54	1	GS
56678	35591	46565	54	1	GS
59903	35893	49959	54	1	GS
50644	36015	29645	54	1	GS
40008	18482	11763	54	1	GS
58937	40008	45578	54	1	GS
64248	35893	49441	55	1	GS
67108	56919	49441	55	1	GS
66044	52950	56919	55	1	GS
66034	52950	56919	55	1	GS
68495	58937	49441	55	1	GS
67467	52950	49441	55	1	GS
62796	49441	35893	55	1	GS
68205	56919	49441	55	1	GS
59903	35893	49959	55	1	GS
64066	52950	41629	55	1	GS
65070	52950	54545	55	1	GS
68675	40008	49441	55	1	GS
67455	52950	49441	55	1	GS
63976	49959	50644	55	1	GS
63261	52950	49651	55	1	GS
59900	35893	49959	55	1	GS
66039	52950	56919	55	1	GS
62249	52950	49959	55	1	GS
60659	49441	35893	55	1	GS
61774	49441	40008	55	1	GS
64069	52950	41629	55	1	GS
56678	35591	46565	55	1	GS
54243	44576	36015	55	1	GS
52950	36015	42544	55	1	GS
